galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0
ESO079-G014,15.06,177.0,-0.2504133856981117,-0.7546313069970116
ESO079-G014,16.67,178.0,-0.28963054176726066,-0.8193809575815137
ESO116-G012,0.25,20.9,-0.3261823830069729,-0.7900478269179109
ESO116-G012,0.83,40.0,-0.28349305627719235,-0.703808901623056
ESO116-G012,1.38,51.5,-0.2847995748758978,-0.5893247321805802
ESO116-G012,1.85,67.9,-0.1719671263990537,-0.5500601422286715
ESO116-G012,2.68,80.2,-0.18832100401750507,-0.6985217863315035
ESO116-G012,3.19,83.3,-0.23103562680064918,-0.7156408241505251
ESO116-G012,3.68,91.4,-0.21249037376289812,-0.7313917105711771
ESO116-G012,4.13,102.0,-0.16728465468960915,-0.7536189793802681
ESO116-G012,5.23,105.0,-0.24465803728444133,-0.8495536899524192
ESO116-G012,6.05,109.0,-0.2754373253282648,-0.9438178534152473
ESO116-G012,6.81,108.0,-0.334834547495929,-1.0268805375470131
ESO116-G012,7.56,109.0,-0.37220374617700247,-1.0705699287090271
ESO116-G012,8.32,110.0,-0.4058729025313171,-1.0987544970129801
ESO116-G012,9.09,111.0,-0.43645287220569584,-1.135464594925497
ESO116-G012,9.86,112.0,-0.46397581615789124,-1.217609972123813
ESO444-G084,0.26,18.3,-0.45860611506700233,-1.2384635765365888
ESO444-G084,0.77,35.3,-0.35947626095387997,-1.0698225139304038
ESO444-G084,1.29,47.8,-0.3202688636320544,-1.1035808594653496
ESO444-G084,1.81,52.8,-0.3809456763586032,-1.1677835902671074
ESO444-G084,2.32,58.0,-0.40716694432206835,-1.2536807993996428
ESO444-G084,3.39,63.1,-0.4986759262718568,-1.5520531402846154
ESO444-G084,4.44,62.7,-0.6213828350102303,-1.8264276505739492
ESO563-G021,0.45,18.9,-0.6688238519858987,0.10558450608400578
ESO563-G021,1.34,58.3,-0.1643026354038227,0.16292238175888782
ESO563-G021,2.23,74.1,-0.17720339364654764,0.058609241661190206
ESO563-G021,3.12,119.0,0.0884043822095755,-0.033943621143558936
ESO563-G021,4.01,141.0,0.12675890613353427,-0.07616511790251347
ESO563-G021,4.9,195.0,0.321338196139479,-0.06977268997020031
ESO563-G021,5.79,227.0,0.38083820410176605,-0.033708442731256845
ESO563-G021,6.69,246.0,0.38790914988189185,-0.0185961931762839
ESO563-G021,7.58,268.0,0.4080654358684808,-0.030891736419676602
ESO563-G021,8.47,283.0,0.40715451416083026,-0.030679458561831074
ESO563-G021,10.23,291.0,0.3493753977026111,-0.046359259835225444
ESO563-G021,12.06,310.0,0.3328411333073696,-0.07212051296778937
ESO563-G021,13.44,310.0,0.28578917239369567,-0.1099353112824312
ESO563-G021,15.18,310.0,0.23291666955204057,-0.14946337038575386
ESO563-G021,16.83,314.0,0.1992402336135628,-0.18857777508093979
ESO563-G021,18.56,317.0,0.16500560599561653,-0.24892305103568785
ESO563-G021,20.3,319.0,0.13155038164410598,-0.29468831071669843
ESO563-G021,21.94,318.0,0.09508267017312973,-0.3254991103519845
ESO563-G021,23.68,317.0,0.05920187982757757,-0.35873918431130875
ESO563-G021,25.41,317.0,0.02857891282809036,-0.4142829690943948
ESO563-G021,27.06,312.0,-0.012553550781761832,-0.4676033621047489
ESO563-G021,28.8,312.0,-0.039618246279388494,-0.5282942721552062
ESO563-G021,30.53,311.0,-0.06774097280203008,-0.5852821361837941
ESO563-G021,32.18,310.0,-0.09339759865150865,-0.628882522557604
