galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0
IC4202,5.5,209.0,0.33139493617082083,0.12179374659612632
IC4202,6.27,220.0,0.31904287425665284,0.0581879001694665
IC4202,7.08,231.0,0.3086557555374763,0.016350314893956077
IC4202,7.86,235.0,0.2781782319470214,-0.003530813991949182
IC4202,8.66,245.0,0.272279330154675,-0.020258861453936766
IC4202,9.45,246.0,0.2379034591404521,-0.040106470255843046
IC4202,10.24,239.0,0.17796089869942017,-0.06473449339320406
IC4202,11.02,240.0,0.14970594235040258,-0.09321410906210696
IC4202,11.79,240.0,0.12037373177107968,-0.12279342437067575
IC4202,12.47,246.0,0.11746881417117237,-0.1509922093945
IC4202,13.34,241.0,0.07034330901216329,-0.1872067707240606
